datetime_local,uptime_ms,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,speed_mps,turn_rate_deg_s,gps_valid
2026-01-28 14:13:44,240,-214.000,134.000,8295.000,80.000,-139.000,14.000,NA,0.000,0
2026-01-28 14:22:35,240,56.000,832.000,8235.000,289.000,-183.000,-214.000,NA,0.000,0
2026-01-28 14:24:56,240,734.000,940.000,8240.000,29.000,-161.000,15.000,NA,0.000,0
2026-01-28 14:32:04,240,1048.000,1756.000,8122.000,26.000,-150.000,18.000,NA,0.000,0
2026-01-28 14:34:37,240,346.000,-191.000,8495.000,0.000,-171.000,34.000,NA,0.000,0
2026-01-28 14:35:06,240,850.000,296.000,8438.000,74.000,-134.000,30.000,NA,0.000,0
2026-01-28 14:35:48,240,905.000,582.000,8340.000,41.000,-131.000,29.000,NA,0.000,0
2026-01-28 14:38:05,240,832.000,2320.000,7998.000,66.000,-216.000,18.000,NA,0.000,0
2026-01-28 14:38:31,240,860.000,456.000,8380.000,61.000,-161.000,27.000,NA,0.000,0
2026-01-28 14:40:55,240,558.000,1548.000,8140.000,7.000,-202.000,20.000,NA,0.000,0
2026-01-28 14:49:54,240,63.000,-273.000,8354.000,4.000,-116.000,38.000,NA,0.000,0
2026-01-28 14:51:53,240,517.000,1699.000,8082.000,-18.000,-228.000,14.000,NA,0.000,0
2026-01-28 14:53:47,240,178.000,-212.000,8492.000,8.000,-161.000,30.000,NA,0.000,0
2026-01-28 14:58:24,240,366.000,2108.000,8089.000,26.000,-166.000,21.000,NA,0.000,0
