datetime_local,uptime_ms,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,speed_mps,turn_rate_deg_s,gps_valid
2026-01-30 22:23:19,3133604,208.000,-5943.000,6357.000,-328.000,-38.000,5.000,NA,0.000,0
2026-01-30 22:23:19,3133644,364.000,-5556.000,6206.000,175.000,-89.000,-100.000,NA,0.000,0
2026-01-30 22:23:19,3133684,184.000,-5855.000,5980.000,488.000,82.000,-30.000,NA,0.000,0
2026-01-30 22:23:19,3133724,83.000,-5584.000,6369.000,230.000,164.000,29.000,NA,0.000,0
2026-01-30 22:23:19,3133764,75.000,-5715.000,6203.000,45.000,48.000,-44.000,NA,0.000,0
2026-01-30 22:23:19,3133804,63.000,-5725.000,6248.000,290.000,58.000,-109.000,NA,0.000,0
2026-01-30 22:23:19,3133844,39.000,-5662.000,6361.000,191.000,95.000,-149.000,NA,0.000,0
2026-01-30 22:23:19,3133884,124.000,-5613.000,6122.000,37.000,104.000,-248.000,NA,0.000,0
2026-01-30 22:23:19,3133924,186.000,-5569.000,5868.000,71.000,259.000,-290.000,NA,0.000,0
2026-01-30 22:23:19,3133964,153.000,-5727.000,5708.000,444.000,341.000,-294.000,NA,0.000,0
2026-01-30 22:23:19,3134004,231.000,-5306.000,5456.000,1083.000,341.000,-219.000,NA,0.000,0
2026-01-30 22:23:19,3134044,449.000,-4974.000,5340.000,1518.000,407.000,169.000,NA,0.000,0
2026-01-30 22:23:19,3134084,248.000,-5038.000,5050.000,2217.000,293.000,1336.000,NA,0.000,0
2026-01-30 22:23:19,3134124,-9.000,-4559.000,6375.000,3401.000,48.000,1621.000,NA,0.000,0
2026-01-30 22:23:19,3134164,-347.000,-3843.000,7093.000,3279.000,-155.000,1095.000,NA,0.000,0
2026-01-30 22:23:19,3134204,-798.000,-4684.000,7335.000,2888.000,-715.000,638.000,NA,0.000,0
2026-01-30 22:23:19,3134244,282.000,-4679.000,7665.000,-496.000,-441.000,-620.000,NA,0.000,0
2026-01-30 22:23:20,3134284,212.000,-5873.000,6600.000,343.000,-172.000,-38.000,NA,0.000,0
2026-01-30 22:23:20,3134324,367.000,-5094.000,7076.000,3172.000,-361.000,548.000,NA,0.000,0
2026-01-30 22:23:20,3134364,292.000,-3829.000,6842.000,4355.000,-354.000,779.000,NA,0.000,0
2026-01-30 22:23:20,3134404,832.000,-3123.000,5493.000,4675.000,-285.000,1975.000,NA,0.000,0
2026-01-30 22:23:20,3134444,1085.000,-2864.000,4455.000,5582.000,-447.000,3500.000,NA,0.000,0
2026-01-30 22:23:20,3134484,1408.000,-3225.000,4369.000,6826.000,-973.000,4916.000,NA,0.000,0
2026-01-30 22:23:20,3134524,1385.000,-1985.000,4522.000,9155.000,-1774.000,6564.000,NA,0.000,0
2026-01-30 22:23:20,3134564,1007.000,-1153.000,5963.000,9786.000,-2670.000,8958.000,NA,0.000,0
2026-01-30 22:23:20,3134604,-779.000,1313.000,8265.000,8853.000,-3546.000,10775.000,NA,0.000,0
2026-01-30 22:23:20,3134644,320.000,2069.000,10592.000,6716.000,-4993.000,11261.000,NA,0.000,0
2026-01-30 22:23:20,3134684,581.000,5851.000,12751.000,8918.000,-4307.000,8227.000,NA,0.000,0
2026-01-30 22:23:20,3134724,-28.000,3758.000,10013.000,3556.000,-2725.000,6171.000,NA,0.000,0
2026-01-30 22:23:20,3134764,1694.000,2304.000,7408.000,2865.000,-3599.000,3283.000,NA,0.000,0
2026-01-30 22:23:20,3134804,3010.000,2870.000,7610.000,2027.000,-3729.000,2192.000,NA,0.000,0
2026-01-30 22:23:20,3134844,3431.000,2684.000,8190.000,1406.000,-3617.000,1624.000,NA,0.000,0
2026-01-30 22:23:20,3134884,4403.000,2741.000,8220.000,902.000,-3186.000,789.000,NA,0.000,0
2026-01-30 22:23:20,3134924,4726.000,1823.000,7473.000,-670.000,-2490.000,288.000,NA,0.000,0
2026-01-30 22:23:20,3134964,5132.000,3172.000,7594.000,-1034.000,-2013.000,-624.000,NA,0.000,0
2026-01-30 22:23:20,3135004,4096.000,-637.000,7353.000,-288.000,-1416.000,-1763.000,NA,0.000,0
2026-01-30 22:23:20,3135044,5354.000,3904.000,7579.000,12.000,-810.000,-2435.000,NA,0.000,0
2026-01-30 22:23:20,3135084,1501.000,-2579.000,9494.000,-514.000,-92.000,-1828.000,NA,0.000,0
2026-01-30 22:23:20,3135124,5890.000,4948.000,12811.000,3466.000,-779.000,-1444.000,NA,0.000,0
2026-01-30 22:23:20,3135164,-754.000,-234.000,11318.000,-3050.000,1506.000,-1880.000,NA,0.000,0
2026-01-30 22:23:20,3135204,2072.000,1352.000,11563.000,-6722.000,1910.000,-1513.000,NA,0.000,0
2026-01-30 22:23:20,3135244,-241.000,1969.000,11285.000,-6030.000,2931.000,-1350.000,NA,0.000,0
2026-01-30 22:23:21,3135284,297.000,3202.000,10126.000,-6774.000,2682.000,-1659.000,NA,0.000,0
2026-01-30 22:23:21,3135324,-237.000,3026.000,8667.000,-6289.000,2270.000,-2875.000,NA,0.000,0
2026-01-30 22:23:21,3135369,1476.000,-1493.000,7103.000,-7739.000,926.000,-3140.000,NA,0.000,0
2026-01-30 22:23:21,3135404,2788.000,1854.000,6744.000,-5938.000,601.000,-3370.000,NA,0.000,0
2026-01-30 22:23:21,3135444,3335.000,51.000,5791.000,-5695.000,-650.000,-3199.000,NA,0.000,0
2026-01-30 22:23:21,3135484,1454.000,-2225.000,7566.000,-3001.000,-1502.000,-1881.000,NA,0.000,0
2026-01-30 22:23:21,3135524,5224.000,-1078.000,7430.000,84.000,-1667.000,-1756.000,NA,0.000,0
