datetime_local,uptime_ms,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,speed_mps,turn_rate_deg_s,gps_valid
2026-01-29 19:39:40,586102,7733.486,2585.784,-167.309,-1265.997,296.919,966.197,4.019,0.000,1
2026-01-29 19:39:40,586142,8665.829,1306.754,-1028.322,760.102,-847.481,-827.561,3.971,0.000,1
2026-01-29 19:39:40,586182,8461.084,4377.606,-808.412,571.989,-188.928,-108.061,4.106,0.000,1
2026-01-29 19:39:40,586222,9572.257,4989.012,-856.155,599.084,301.398,62.134,4.162,0.000,1
2026-01-29 19:39:40,586262,9231.098,3069.109,-1028.424,-181.602,1104.701,404.461,4.186,0.000,1
2026-01-29 19:39:40,586302,9159.504,3017.283,100.962,62.944,1505.034,-1457.857,4.201,0.000,1
2026-01-29 19:39:40,586342,9231.570,1604.629,60.899,-316.486,-1142.077,869.362,4.064,0.000,1
2026-01-29 19:39:40,586382,7783.081,5187.642,-67.591,-1122.118,1088.674,416.793,4.238,0.000,1
2026-01-29 19:39:40,586422,8869.335,-921.309,-125.574,1320.183,528.858,-368.002,4.123,0.000,1
2026-01-29 19:39:40,586462,7877.221,5635.605,-1412.821,797.422,1144.240,-256.802,4.383,0.000,1
2026-01-29 19:39:40,586502,9139.613,-1594.234,-582.477,1672.277,568.498,-419.820,4.251,0.000,0
2026-01-29 19:39:40,586542,8233.630,2859.576,-909.246,-790.930,-414.989,284.538,4.325,0.000,1
2026-01-29 19:39:40,586582,7491.758,4190.039,-1269.936,-136.982,265.078,321.313,4.494,0.000,1
2026-01-29 19:39:40,586622,7025.957,2724.543,353.741,-18.665,188.971,-1395.856,4.557,0.000,1
2026-01-29 19:39:40,586662,6768.010,3409.210,-543.531,680.140,1129.915,749.223,4.650,0.000,1
2026-01-29 19:39:40,586702,8254.710,-1385.241,240.095,974.121,-510.978,211.164,4.452,0.000,1
2026-01-29 19:39:40,586742,8757.015,5173.200,-1209.356,-49.104,1411.338,1088.448,4.668,0.000,1
2026-01-29 19:39:40,586782,9274.676,3430.426,-421.963,-316.834,965.664,-209.360,4.702,0.000,1
2026-01-29 19:39:40,586822,9613.721,948.623,-439.343,-233.175,-1235.382,-1023.422,4.602,0.000,0
2026-01-29 19:39:40,586862,9381.687,4106.561,-235.611,386.126,-384.957,-87.709,4.648,0.000,1
2026-01-29 19:39:40,586902,7815.490,6813.744,1233.278,-162.059,-627.783,1414.367,4.800,0.000,1
2026-01-29 19:39:40,586942,9588.017,5536.118,-1106.731,326.367,284.280,-161.722,4.916,0.000,1
2026-01-29 19:39:40,586982,8098.654,2176.241,-481.756,-978.575,99.597,-760.000,4.890,0.000,1
2026-01-29 19:39:40,587022,8400.970,4068.266,999.560,1262.588,-291.582,-223.650,5.000,0.000,1
2026-01-29 19:39:40,587062,7274.006,3161.841,-1265.394,936.017,-388.455,893.868,4.943,0.000,1
2026-01-29 19:39:41,587102,6700.386,528.755,-1986.658,-115.437,-699.477,-1018.734,4.910,0.000,1
2026-01-29 19:39:41,587142,6827.767,1149.104,-1167.997,-1078.778,-67.360,355.793,4.954,0.000,0
2026-01-29 19:39:41,587182,6993.253,1766.291,-1678.149,436.117,601.878,149.827,4.939,0.000,1
2026-01-29 19:39:41,587222,8429.313,4409.805,-896.701,-707.913,680.143,-834.049,5.138,0.000,1
2026-01-29 19:39:41,587262,7964.451,667.407,1203.884,-133.661,-850.519,1094.478,5.204,0.000,1
2026-01-29 19:39:41,587302,7631.696,-2514.919,-1687.886,58.818,-631.411,1022.512,5.021,0.000,1
2026-01-29 19:39:41,587342,7262.228,6085.668,-541.340,-1428.603,8.270,989.795,5.189,0.000,1
